SRR9677743,PAIRED,39
SRR9677707,PAIRED,36
SRR8792711,PAIRED,4787
SRR10987832,SINGLE,90
SRR8399432,PAIRED,3102
SRR9217960,PAIRED,18
SRR8529453,PAIRED,25
SRR8529316,PAIRED,31
SRR8529309,PAIRED,21
SRR8529521,PAIRED,22
SRR11731837,PAIRED,1842
SRR10686651,PAIRED,14
SRR10016701,PAIRED,194
SRR8529325,PAIRED,29
SRR10103574,PAIRED,7
SRR12687762,PAIRED,1716
SRR10080830,PAIRED,2916
SRR9124097,PAIRED,9
SRR8561270,SINGLE,8
SRR12105451,PAIRED,373
SRR8561317,SINGLE,9
SRR13645069,PAIRED,9
SRR12105383,PAIRED,347
SRR8561267,SINGLE,8
SRR10008609,PAIRED,0
SRR10008738,PAIRED,5
SRR8507452,PAIRED,5
SRR8507418,PAIRED,4
SRR10008909,PAIRED,0
ERR2592910,SINGLE,13
SRR10008669,PAIRED,2
SRR10008880,PAIRED,0
SRR10008695,PAIRED,0
SRR6744151,PAIRED,4009
SRR8507374,PAIRED,15
SRR10008805,PAIRED,0
SRR13755900,SINGLE,270
SRR13755936,SINGLE,401
SRR10420937,PAIRED,1677
SRR7365393,SINGLE,198
SRR8902300,PAIRED,570
SRR8730011,SINGLE,757
SRR10484958,PAIRED,14
SRR8902152,PAIRED,307
SRR10673267,PAIRED,14
SRR10420977,PAIRED,1241
SRR8902274,PAIRED,546
SRR8902162,PAIRED,435
SRR8567586,SINGLE,39
SRR12335106,PAIRED,6
SRR12335025,PAIRED,1
SRR11409734,PAIRED,24
SRR11409988,PAIRED,12
SRR11803533,PAIRED,4737
SRR11409651,PAIRED,18
SRR12334874,PAIRED,84
SRR11409940,PAIRED,63
SRR12183123,PAIRED,368
SRR10824595,PAIRED,0
SRR12081700,PAIRED,941
ERR3586777,PAIRED,3213
ERR3587178,PAIRED,3138
SRR13370262,PAIRED,4948
ERR3586861,PAIRED,3187
ERR3587156,PAIRED,5267
ERR3586727,PAIRED,3345
SRR7648278,PAIRED,1776
ERR3587015,PAIRED,3494
ERR3587162,PAIRED,4945
SRR13370274,PAIRED,3565
SRR8394438,PAIRED,3849
SRR10607576,PAIRED,2053
ERR3586907,PAIRED,1761
ERR3305367,PAIRED,28
SRR13370287,PAIRED,3737
ERR3586786,PAIRED,2216
SRR13370242,PAIRED,4423
ERR4230061,PAIRED,571
